address,domain,extracted_date,food_category,food_types,link,opinions,   in_pric    ,max_price,rating,restaurant_name
"Avenida Emilio Castelar 44, Ciudad de M̩xico 11000 M̩xico",www.tripadvisor.com.mx,08/09/22 17:49,"Almuerzo, Cena, Bebidas","Vino y cerveza, Servicio de mesa",https://www.tripadvisor.com.mx/Restaurant_Review-g150800-d24093482-Reviews-Pardela-Mexico_City_Central_Mexico_and_Gulf_Coast.html,2,"                 n    a, Cont             n    a,   ,  , Fusi  _n,             ",,5,Pardela
"AVENIDA SANTA FE 160 AVENIDA SANTA FE 160, Ciudad de M̩xico 01376 M̩xico",www.tripadvisor.com.mx,08/09/22 17:49,"Italiana, Mediterr��nea, Europea, Saludable, Toscana, Romana, De Lacio, Siciliana, Del centro italiano, Del sur italiano","Apto para vegetarianos, Opciones veganas, Opciones sin gluten",https://www.tripadvisor.com.mx/Restaurant_Review-g150800-d4035248-Reviews-Quattro-Mexico_City_Central_Mexico_and_Gulf_Coast.html,741,$402,"$1,004",5,Quattro Gastronom�_a Italiana
"Avenida Paseo de La Reforma 297 Sofitel Mexico City, Ciudad de M̩xico 06500 M̩xico",www.tripadvisor.com.mx,08/09/22 17:49,"Desayuno, Almuerzo, Brunch","Reservaciones, Asiento, Sirve alcohol, Bar completo, Acepta tarjetas de cr̩dito, Servicio de mesa",https://www.tripadvisor.com.mx/Restaurant_Review-g150800-d20295948-Reviews-Cityzen_Rooftop_Kitchen-Mexico_City_Central_Mexico_and_Gulf_Coast.html,"1,080",,,5,Cityzen Rooftop Kitchen
"Calzada Acoxpa # 610 Centro Comercial Gran Terraza Coapa locales 101,102,103, Ciudad de M̩xico 14390 M̩xico",www.tripadvisor.com.mx,08/09/22 17:49,"Mexicana, Parrilla, Contempor��nea","Almuerzo, Cena, Brunch, Abierto hasta tarde, Bebidas",https://www.tripadvisor.com.mx/Restaurant_Review-g150800-d19078418-Reviews-Porfirio_s_Coapa-Mexico_City_Central_Mexico_and_Gulf_Coast.html,643,$250,$600,5,Porfirio's Coapa
"Calle Goldsmith Polanco III Secc. 66 Miguel Hidalgo, Ciudad de M̩xico 11540 M̩xico",www.tripadvisor.com.mx,08/09/22 17:49,"Asi��tica, Tailandesa, Coreana, Fusi�_n",Apto para vegetarianos,https://www.tripadvisor.com.mx/Restaurant_Review-g150800-d20158337-Reviews-KYU_MEXICO-Mexico_City_Central_Mexico_and_Gulf_Coast.html,373,"$1,200","$1,800",5,KYU M��XICO
"Av. Presidente Masaryk 294, Colonia Polanco IV, Ciudad de M̩xico 11550 M̩xico",www.tripadvisor.com.mx,08/09/22 17:49,"Mariscos, Mediterr��nea, Internacional, Contempor��nea",Opciones sin gluten,https://www.tripadvisor.com.mx/Restaurant_Review-g150800-d19246233-Reviews-Taboo_Polanco-Mexico_City_Central_Mexico_and_Gulf_Coast.html,693,$601,$801,5,Taboo Polanco
"Tonala 144 Roma Norte Primer Piso, Ciudad de M̩xico 06700 M̩xico",www.tripadvisor.com.mx,08/09/22 17:49,"Almuerzo, Cena",,https://www.tripadvisor.com.mx/Restaurant_Review-g150800-d24192705-Reviews-Sake_Sushi_Bar_Roma-Mexico_City_Central_Mexico_and_Gulf_Coast.html,,,,,Sake Sushi Bar ( Roma )
"Avenida Miguel Angel de Quevedo 227 Plaza Oasis, Ciudad de M̩xico 04310 M̩xico",www.tripadvisor.com.mx,08/09/22 17:49,"Argentina, Internacional, Parrilla, Contempor��nea",Opciones sin gluten,https://www.tripadvisor.com.mx/Restaurant_Review-g150800-d10330947-Reviews-Cambalache_Plaza_Oasis-Mexico_City_Central_Mexico_and_Gulf_Coast.html,760,$500,$800,4.5,Cambalache Plaza Oasis
"Avenida Presidente Masaryk, 311 Polanco, Ciudad de M̩xico 11550 M̩xico",www.tripadvisor.com.mx,08/09/22 17:49,"Bar, Mediterr��nea, Griega","Almuerzo, Cena, Abierto hasta tarde, Bebidas",https://www.tripadvisor.com.mx/Restaurant_Review-g150800-d23653334-Reviews-Ilios_Greek_Estiatorio_Polanco-Mexico_City_Central_Mexico_and_Gulf_Coast.html,396,$700,"$1,500",5,Ilios Greek Estiatorio Polanco
"Calle Juan Sanchez Azcona No. 529 Esq. Diagonal San Antonio, Col. Narvarte, Ciudad de M̩xico 03020 M̩xico",www.tripadvisor.com.mx,08/09/22 17:49,"Apto para vegetarianos, Opciones sin gluten","Almuerzo, Cena",https://www.tripadvisor.com.mx/Restaurant_Review-g150800-d8288826-Reviews-Sonora_Grill_Narvarte-Mexico_City_Central_Mexico_and_Gulf_Coast.html,404,,,5,Sonora Grill Narvarte
