address,datePublished,domain,extracted_date,food_category,food_types,link,opinions,prices_range,rating,restaurant_name
"Paseo de la Reforma 439 Colonia Cuauhtemoc, Ciudad de México 06500 México",,www.tripadvisor.com.mx,2022-09-08 17:52:10,Almuerzo,"Asientos al aire libre, Asiento, Acceso para silla de ruedas, Sirve alcohol, Bar completo, Servicio de mesa",https://www.tripadvisor.com.mx/Restaurant_Review-g150800-d4020873-Reviews-King_Cole_Bar-Mexico_City_Central_Mexico_and_Gulf_Coast.html,86,"Bar, Internacional",4.5,King Cole Bar
"Tonalá 171 Colonia Roma Norte, Ciudad de México 06700 México",,www.tripadvisor.com.mx,2022-09-08 17:52:10,Mexicana,Apto para vegetarianos,https://www.tripadvisor.com.mx/Restaurant_Review-g150800-d17143049-Reviews-Tr3s_Tonala-Mexico_City_Central_Mexico_and_Gulf_Coast.html,39,$130 - $320,4.5,Tr3s Tonala
"Peatonal San Jeronimo, 40, Ciudad de México 06000 México",,www.tripadvisor.com.mx,2022-09-08 17:52:11,"Cena, Almuerzo, Abierto hasta tarde","Asiento, Sirve alcohol, Bar completo, Servicio de mesa",https://www.tripadvisor.com.mx/Restaurant_Review-g150800-d3422468-Reviews-Hosteria_La_Bota-Mexico_City_Central_Mexico_and_Gulf_Coast.html,119,"Mexicana, Bar, Española",4.0,Hosteria La Bota
"Hamburgo 332 Colonia Juarez, Ciudad de México México",,www.tripadvisor.com.mx,2022-09-08 17:52:11,"Almuerzo, Cena, Brunch","Comida para llevar, Asientos al aire libre, Asiento, Acceso para silla de ruedas, Servicio de mesa, Sirve alcohol",https://www.tripadvisor.com.mx/Restaurant_Review-g150800-d3324609-Reviews-El_Pialadero_de_Guadalajara-Mexico_City_Central_Mexico_and_Gulf_Coast.html,110,"Mexicana, Latina",4.0,El Pialadero de Guadalajara
"Avenida Cuauhtémoc No.140 Col. Doctores, Ciudad de México 06720 México",,www.tripadvisor.com.mx,2022-09-08 17:52:11,Mexicana,"Almuerzo, Cena, Abierto hasta tarde, Bebidas",https://www.tripadvisor.com.mx/Restaurant_Review-g150800-d3667556-Reviews-Cantina_Restaurante_La_Ribera-Mexico_City_Central_Mexico_and_Gulf_Coast.html,78,$400 - $600,4.0,Cantina Restaurante La Ribera
"Avenida Emilio Castelar 213 Polanco, Polanco III Secc, Ciudad de México 11540 México",,www.tripadvisor.com.mx,2022-09-08 17:52:11,Apto para vegetarianos,"Almuerzo, Cena",https://www.tripadvisor.com.mx/Restaurant_Review-g150800-d2346494-Reviews-Arturo_s-Mexico_City_Central_Mexico_and_Gulf_Coast.html,109,"Francesa, Europea",4.0,Arturo's
"Calle Pennsylvania 73 Colonia Nápoles, Ciudad de México 03810 México",,www.tripadvisor.com.mx,2022-09-08 17:52:12,"Almuerzo, Cena","Comida para llevar, Asiento, Acceso para silla de ruedas, Servicio de mesa",https://www.tripadvisor.com.mx/Restaurant_Review-g150800-d9567399-Reviews-El_Huequito-Mexico_City_Central_Mexico_and_Gulf_Coast.html,82,Mexicana,4.0,El Huequito
"Pabellon Altavista, Ciudad de México México",,www.tripadvisor.com.mx,2022-09-08 17:52:12,"Apto para vegetarianos, Opciones sin gluten","Almuerzo, Cena, Abierto hasta tarde",https://www.tripadvisor.com.mx/Restaurant_Review-g150800-d7033499-Reviews-Anastasia-Mexico_City_Central_Mexico_and_Gulf_Coast.html,89,Francesa,4.5,Anastasia
"Calle Dr Mora 9 Colonia Centro, Ciudad de México 06000 México",,www.tripadvisor.com.mx,2022-09-08 17:52:12,"Bar, Internacional, Mexicana",Apto para vegetarianos,https://www.tripadvisor.com.mx/Restaurant_Review-g150800-d12017740-Reviews-La_Azotea_de_Barrio_Alameda-Mexico_City_Central_Mexico_and_Gulf_Coast.html,82,$100 - $400,4.0,La Azotea de Barrio Alameda
"Calle Chilpancingo 46 Esquina con Aguascalientes, Ciudad de México 06100 México",,www.tripadvisor.com.mx,2022-09-08 17:52:13,"Española, Bar, Mariscos, Mediterránea, Pub, Bar de vinos",Apto para vegetarianos,https://www.tripadvisor.com.mx/Restaurant_Review-g150800-d20098331-Reviews-Castizo-Mexico_City_Central_Mexico_and_Gulf_Coast.html,25,"$500 - $1,000",4.5,Castizo
