address,datePublished,domain,extracted_date,food_category,food_types,link,opinions,prices_range,rating,restaurant_name
"Avenida Emilio Castelar 44, Ciudad de México 11000 México",,www.tripadvisor.com.mx,2022-09-08 17:49:07,"Almuerzo, Cena, Bebidas","Vino y cerveza, Servicio de mesa",https://www.tripadvisor.com.mx/Restaurant_Review-g150800-d24093482-Reviews-Pardela-Mexico_City_Central_Mexico_and_Gulf_Coast.html,2,"Mediterránea, Contemporánea, Bar, Pub, Fusión, Bar de vinos",5.0,Pardela
"AVENIDA SANTA FE 160 AVENIDA SANTA FE 160, Ciudad de México 01376 México",,www.tripadvisor.com.mx,2022-09-08 17:49:07,"Italiana, Mediterránea, Europea, Saludable, Toscana, Romana, De Lacio, Siciliana, Del centro italiano, Del sur italiano","Apto para vegetarianos, Opciones veganas, Opciones sin gluten",https://www.tripadvisor.com.mx/Restaurant_Review-g150800-d4035248-Reviews-Quattro-Mexico_City_Central_Mexico_and_Gulf_Coast.html,741,"$402 - $1,004",5.0,Quattro Gastronomía Italiana
"Avenida Paseo de La Reforma 297 Sofitel Mexico City, Ciudad de México 06500 México",,www.tripadvisor.com.mx,2022-09-08 17:49:08,"Desayuno, Almuerzo, Brunch","Reservaciones, Asiento, Sirve alcohol, Bar completo, Acepta tarjetas de crédito, Servicio de mesa",https://www.tripadvisor.com.mx/Restaurant_Review-g150800-d20295948-Reviews-Cityzen_Rooftop_Kitchen-Mexico_City_Central_Mexico_and_Gulf_Coast.html,"1,080","Mexicana, Fusión",5.0,Cityzen Rooftop Kitchen
"Calzada Acoxpa # 610 Centro Comercial Gran Terraza Coapa locales 101,102,103, Ciudad de México 14390 México",,www.tripadvisor.com.mx,2022-09-08 17:49:08,"Mexicana, Parrilla, Contemporánea","Almuerzo, Cena, Brunch, Abierto hasta tarde, Bebidas",https://www.tripadvisor.com.mx/Restaurant_Review-g150800-d19078418-Reviews-Porfirio_s_Coapa-Mexico_City_Central_Mexico_and_Gulf_Coast.html,643,$250 - $600,5.0,Porfirio's Coapa
"Calle Goldsmith Polanco III Secc. 66 Miguel Hidalgo, Ciudad de México 11540 México",,www.tripadvisor.com.mx,2022-09-08 17:49:08,"Asiática, Tailandesa, Coreana, Fusión",Apto para vegetarianos,https://www.tripadvisor.com.mx/Restaurant_Review-g150800-d20158337-Reviews-KYU_MEXICO-Mexico_City_Central_Mexico_and_Gulf_Coast.html,373,"$1,200 - $1,800",5.0,KYU MÉXICO
"Av. Presidente Masaryk 294, Colonia Polanco IV, Ciudad de México 11550 México",,www.tripadvisor.com.mx,2022-09-08 17:49:08,"Mariscos, Mediterránea, Internacional, Contemporánea",Opciones sin gluten,https://www.tripadvisor.com.mx/Restaurant_Review-g150800-d19246233-Reviews-Taboo_Polanco-Mexico_City_Central_Mexico_and_Gulf_Coast.html,693,$601 - $801,5.0,Taboo Polanco
"Tonala 144 Roma Norte Primer Piso, Ciudad de México 06700 México",,www.tripadvisor.com.mx,2022-09-08 17:49:08,"Almuerzo, Cena",,https://www.tripadvisor.com.mx/Restaurant_Review-g150800-d24192705-Reviews-Sake_Sushi_Bar_Roma-Mexico_City_Central_Mexico_and_Gulf_Coast.html,,"Japonesa, Bar, Pub, Bar de vinos",,Sake Sushi Bar ( Roma )
"Avenida Miguel Angel de Quevedo 227 Plaza Oasis, Ciudad de México 04310 México",,www.tripadvisor.com.mx,2022-09-08 17:49:09,"Argentina, Internacional, Parrilla, Contemporánea",Opciones sin gluten,https://www.tripadvisor.com.mx/Restaurant_Review-g150800-d10330947-Reviews-Cambalache_Plaza_Oasis-Mexico_City_Central_Mexico_and_Gulf_Coast.html,760,$500 - $800,4.5,Cambalache Plaza Oasis
"Avenida Presidente Masaryk, 311 Polanco, Ciudad de México 11550 México",,www.tripadvisor.com.mx,2022-09-08 17:49:09,"Bar, Mediterránea, Griega","Almuerzo, Cena, Abierto hasta tarde, Bebidas",https://www.tripadvisor.com.mx/Restaurant_Review-g150800-d23653334-Reviews-Ilios_Greek_Estiatorio_Polanco-Mexico_City_Central_Mexico_and_Gulf_Coast.html,396,"$700 - $1,500",5.0,Ilios Greek Estiatorio Polanco
"Calle Juan Sanchez Azcona No. 529 Esq. Diagonal San Antonio, Col. Narvarte, Ciudad de México 03020 México",,www.tripadvisor.com.mx,2022-09-08 17:49:10,"Apto para vegetarianos, Opciones sin gluten","Almuerzo, Cena",https://www.tripadvisor.com.mx/Restaurant_Review-g150800-d8288826-Reviews-Sonora_Grill_Narvarte-Mexico_City_Central_Mexico_and_Gulf_Coast.html,404,"Mexicana, Churrasquería",5.0,Sonora Grill Narvarte
"Calzada Vallejo 1090 Parque Vía Vallejo, nivel 2. Sta  Cruz de Las Salinas Azcapotzalco, Ciudad de México 02340 México",,www.tripadvisor.com.mx,2022-09-08 17:49:10,"Latina, Parrilla, Mexicana","Apto para vegetarianos, Opciones veganas, Opciones sin gluten",https://www.tripadvisor.com.mx/Restaurant_Review-g150800-d11727409-Reviews-La_Vicenta_Vallejo-Mexico_City_Central_Mexico_and_Gulf_Coast.html,676,$300 - $800,5.0,La Vicenta
"Calle Calderón de la Barca 108 Polanco III Secc, Miguel Hidalgo, Ciudad de México 11540 México",,www.tripadvisor.com.mx,2022-09-08 17:49:10,Opciones sin gluten,"Almuerzo, Cena, Abierto hasta tarde, Bebidas",https://www.tripadvisor.com.mx/Restaurant_Review-g150800-d22880159-Reviews-Animal-Mexico_City_Central_Mexico_and_Gulf_Coast.html,540,"Mexicana, Fusión, Gastropub, Bar",5.0,Animal
"Tonala 144 Roma Norte Primer Piso Entre Zacatecas Y Queretaro, Ciudad de México 06700 México",,www.tripadvisor.com.mx,2022-09-08 17:49:11,"Almuerzo, Cena","Reservaciones, Servicio de mesa",https://www.tripadvisor.com.mx/Restaurant_Review-g150800-d24192687-Reviews-Bombana-Mexico_City_Central_Mexico_and_Gulf_Coast.html,11,"Italiana, Bar, Pub, Bar de vinos, Del centro italiano",5.0,Bombana
"San Jerónimo 24 Centro Historico, Ciudad de México 06080 México",,www.tripadvisor.com.mx,2022-09-08 17:49:11,"Mexicana, Contemporánea","Apto para vegetarianos, Opciones veganas, Opciones sin gluten",https://www.tripadvisor.com.mx/Restaurant_Review-g150800-d2236379-Reviews-Zefiro-Mexico_City_Central_Mexico_and_Gulf_Coast.html,824,$250 - $350,5.0,Zefiro
"Avenida Division Del Norte, 911 Heriberto Frias, Ciudad de México 03100 México",,www.tripadvisor.com.mx,2022-09-08 17:49:11,"Mexicana, Latina, Bar","Apto para vegetarianos, Opciones veganas, Opciones sin gluten",https://www.tripadvisor.com.mx/Restaurant_Review-g150800-d1071091-Reviews-Parrilla_Urbana_Division_del_Norte-Mexico_City_Central_Mexico_and_Gulf_Coast.html,687,$230 - $570,4.5,Parrilla Urbana División del Norte
"Calle Pedregal 24 Torre Virreyes, Ciudad de México 11040 México",,www.tripadvisor.com.mx,2022-09-08 17:49:12,"Mexicana, Latina","Apto para vegetarianos, Opciones veganas, Opciones sin gluten",https://www.tripadvisor.com.mx/Restaurant_Review-g150800-d13424441-Reviews-Carmela_Y_Sal-Mexico_City_Central_Mexico_and_Gulf_Coast.html,224,"$13,055 - $19,081",4.5,Carmela Y Sal
"AV San Jeronimo 263 Dentro de Plaza Escenaria, Ciudad de México 01090 México",,www.tripadvisor.com.mx,2022-09-08 17:49:12,"Argentina, Bar, Internacional, Parrilla, Contemporánea, Pub",Opciones sin gluten,https://www.tripadvisor.com.mx/Restaurant_Review-g150800-d3457963-Reviews-Cambalache_Escenaria-Mexico_City_Central_Mexico_and_Gulf_Coast.html,211,$500 - $800,4.5,Cambalache Escenaria
"Allende 3 Centro Historico, Ciudad de México 06010 México",,www.tripadvisor.com.mx,2022-09-08 17:49:12,"Mexicana, Latina","Apto para vegetarianos, Opciones veganas, Opciones sin gluten",https://www.tripadvisor.com.mx/Restaurant_Review-g150800-d3783138-Reviews-Limosneros-Mexico_City_Central_Mexico_and_Gulf_Coast.html,"1,163",$500 - $700,4.5,Limosneros
"Campos Eliseos 199-A Polanco, Ciudad de México México",,www.tripadvisor.com.mx,2022-09-08 17:49:12,"Mexicana, Latina, Mariscos, Saludable","Apto para vegetarianos, Opciones veganas, Opciones sin gluten",https://www.tripadvisor.com.mx/Restaurant_Review-g150800-d2219950-Reviews-Agua_y_Sal_Cebicheria-Mexico_City_Central_Mexico_and_Gulf_Coast.html,"1,224",$502 - $703,4.5,Agua y Sal Cebichería
"Avenida Paseo de la Reforma Number 250 Juarez, Cuauhtémoc, Ciudad de México 06600 México",,www.tripadvisor.com.mx,2022-09-08 17:49:13,Estadounidense,Opciones sin gluten,https://www.tripadvisor.com.mx/Restaurant_Review-g150800-d4097291-Reviews-The_Capital_Grille-Mexico_City_Central_Mexico_and_Gulf_Coast.html,586,"$900 - $1,000",4.5,The Capital Grille
"Alfredo Musset # 3 Corner Masaryk Col. Polanco, Ciudad de México 11540 México",,www.tripadvisor.com.mx,2022-09-08 17:49:13,"Mexicana, Internacional",Opciones sin gluten,https://www.tripadvisor.com.mx/Restaurant_Review-g150800-d7338620-Reviews-Sonora_Grill_Prime_Masaryk-Mexico_City_Central_Mexico_and_Gulf_Coast.html,602,"$900 - $1,500",4.5,Sonora Grill Prime Masaryk
"Avenida Juárez 70 dentro del Hotel Hilton, Ciudad de México 06000 México",,www.tripadvisor.com.mx,2022-09-08 17:49:13,Mexicana,"Apto para vegetarianos, Opciones veganas, Opciones sin gluten",https://www.tripadvisor.com.mx/Restaurant_Review-g150800-d2689530-Reviews-El_Cardenal_Alameda-Mexico_City_Central_Mexico_and_Gulf_Coast.html,"1,968",$261 - $562,4.5,El Cardenal Alameda
"Avenida Revolución 1521 San Ángel, Álvaro Obregón, Ciudad de México 01000 México",,www.tripadvisor.com.mx,2022-09-08 17:49:14,"Francesa, Europea, Contemporánea","Apto para vegetarianos, Opciones veganas, Opciones sin gluten",https://www.tripadvisor.com.mx/Restaurant_Review-g150800-d1976755-Reviews-Restaurante_Eloise-Mexico_City_Central_Mexico_and_Gulf_Coast.html,"1,058",$310 - $630,4.5,Restaurante Eloise
"Av. de la Paz # 32 Col. San Ángel, Ciudad de México 01000 México",,www.tripadvisor.com.mx,2022-09-08 17:49:14,"Apto para vegetarianos, Opciones veganas, Opciones sin gluten","Desayuno, Almuerzo, Brunch",https://www.tripadvisor.com.mx/Restaurant_Review-g150800-d2629020-Reviews-El_Cardenal_San_Angel-Mexico_City_Central_Mexico_and_Gulf_Coast.html,"1,302",Mexicana,4.5,El Cardenal San Ángel
"Calle Dolores 16 Local C, Colonia Centro, Ciudad de México 06010 México",,www.tripadvisor.com.mx,2022-09-08 17:49:14,Mexicana,"Apto para vegetarianos, Opciones veganas, Opciones sin gluten",https://www.tripadvisor.com.mx/Restaurant_Review-g150800-d8856235-Reviews-Testal-Mexico_City_Central_Mexico_and_Gulf_Coast.html,413,$350 - $500,4.5,Testal
"Palma #23 Centro Historico, Entre 5 De Mayo y Francisco I, Ciudad de México 06000 México",,www.tripadvisor.com.mx,2022-09-08 17:49:14,"Apto para vegetarianos, Opciones veganas, Opciones sin gluten","Desayuno, Almuerzo, Cena, Brunch, Abierto hasta tarde",https://www.tripadvisor.com.mx/Restaurant_Review-g150800-d814867-Reviews-Restaurante_El_Cardenal-Mexico_City_Central_Mexico_and_Gulf_Coast.html,"6,019","Mexicana, Latina",4.5,Restaurante El Cardenal
"Euler 152, Ciudad de México 11560 México",,www.tripadvisor.com.mx,2022-09-08 17:49:15,"Churrasquería, Parrilla, Mexicana, Bar","Almuerzo, Abierto hasta tarde, Bebidas, Cena",https://www.tripadvisor.com.mx/Restaurant_Review-g150800-d4961135-Reviews-Asaderos_Grill_Polanco-Mexico_City_Central_Mexico_and_Gulf_Coast.html,362,$100 - $301,4.5,Asaderos Grill Polanco
"Calle Alejandro Dumas 122 Esq. Presidente Masaryk, Ciudad de México 11540 México",,www.tripadvisor.com.mx,2022-09-08 17:49:15,"Churrasquería, Argentina, Internacional","Almuerzo, Cena, Abierto hasta tarde, Bebidas",https://www.tripadvisor.com.mx/Restaurant_Review-g150800-d2014777-Reviews-Cambalache_Polanco-Mexico_City_Central_Mexico_and_Gulf_Coast.html,532,$600 - $800,4.5,Cambalache Polanco
"Plaza Jardín Centenario 12 Colonia Villa Coyoacan, Ciudad de México 04000 México",,www.tripadvisor.com.mx,2022-09-08 17:49:15,"Mexicana, Contemporánea","Apto para vegetarianos, Opciones veganas",https://www.tripadvisor.com.mx/Restaurant_Review-g150800-d1032645-Reviews-Los_Danzantes_Coyoacan-Mexico_City_Central_Mexico_and_Gulf_Coast.html,992,$350 - $480,4.0,Los Danzantes Coyoacán
"Calle Morelos 7 Progreso Tizapán, Ciudad de México 01090 México",,www.tripadvisor.com.mx,2022-09-08 17:49:16,Internacional,"Apto para vegetarianos, Opciones veganas, Opciones sin gluten",https://www.tripadvisor.com.mx/Restaurant_Review-g150800-d1976688-Reviews-SCOLA_by_CESSA-Mexico_City_Central_Mexico_and_Gulf_Coast.html,157,$580 - $650,5.0,SCOLA CESSA
"Calle 5 de Mayo 61 Centro Histórico de la Cdad. de México, Ciudad de México 06000 México",,www.tripadvisor.com.mx,2022-09-08 17:49:16,"Internacional, Fusión, Mexicana, Latina","Apto para vegetarianos, Opciones veganas, Opciones sin gluten",https://www.tripadvisor.com.mx/Restaurant_Review-g150800-d1201096-Reviews-Balcon_del_Zocalo-Mexico_City_Central_Mexico_and_Gulf_Coast.html,"2,694",$150 - $600,4.5,El Balcón del Zocalo
"Av. Canal Tezontle 1512, Dr. Alfonso Ortíz Tirado Iztapalapa Parque Tezontle, nivel 2, Ciudad de México 09260 México",,www.tripadvisor.com.mx,2022-09-08 17:49:16,"Churrasquería, Latina, Parrilla","Apto para vegetarianos, Opciones veganas, Opciones sin gluten",https://www.tripadvisor.com.mx/Restaurant_Review-g150800-d12310802-Reviews-La_Vicenta_Tezontle-Mexico_City_Central_Mexico_and_Gulf_Coast.html,288,$300 - $800,5.0,La Vicenta Tezontle
"Av. Presidente Masaryk 298, Esquina Aristóteles, Colonia Polanco IV Esquina con Aristóteles, Ciudad de México 11550 México",,www.tripadvisor.com.mx,2022-09-08 17:49:16,"Mariscos, Latina, Contemporánea","Apto para vegetarianos, Opciones veganas, Opciones sin gluten",https://www.tripadvisor.com.mx/Restaurant_Review-g150800-d12327530-Reviews-RosaNegra_Polanco-Mexico_City_Central_Mexico_and_Gulf_Coast.html,"3,008",$601 - $801,4.5,RosaNegra Polanco
"Avenida Insurgentes sur # 803, Ciudad de México 03840 México",,www.tripadvisor.com.mx,2022-09-08 17:49:17,"Argentina, Internacional, Parrilla, Contemporánea",Opciones sin gluten,https://www.tripadvisor.com.mx/Restaurant_Review-g150800-d2317880-Reviews-La_Rural_Argentina-Mexico_City_Central_Mexico_and_Gulf_Coast.html,233,$500 - $800,4.5,La Rural Argentina
"Calle Pilares 231, Ciudad de México 03100 México",,www.tripadvisor.com.mx,2022-09-08 17:49:17,"Mexicana, Parrilla, Latina, Bar","Almuerzo, Cena, Abierto hasta tarde, Bebidas",https://www.tripadvisor.com.mx/Restaurant_Review-g150800-d4765793-Reviews-Sonora_Grill_Amores-Mexico_City_Central_Mexico_and_Gulf_Coast.html,282,$500 - $900,4.5,Sonora Grill Amores
"Avenida Presidente Masaryk 214, Ciudad de México 11560 México",,www.tripadvisor.com.mx,2022-09-08 17:49:17,"Churrasquería, Parrilla",Opciones sin gluten,https://www.tripadvisor.com.mx/Restaurant_Review-g150800-d15795341-Reviews-Entre_Fuegos_Masaryk-Mexico_City_Central_Mexico_and_Gulf_Coast.html,251,"$900 - $2,000",4.5,Entre Fuegos Masaryk
"Nueva York 264 Col. Nápoles, Ciudad de México 03840 México",,www.tripadvisor.com.mx,2022-09-08 17:49:18,"Churrasquería, Latina","Apto para vegetarianos, Opciones sin gluten",https://www.tripadvisor.com.mx/Restaurant_Review-g150800-d2558439-Reviews-Sonora_Grill_Napoles-Mexico_City_Central_Mexico_and_Gulf_Coast.html,592,$200 - $350,4.5,Sonora Grill Nápoles
"Av. Insurgentes Sur 1458 Col. Del Valle, Ciudad de México 03230 México",,www.tripadvisor.com.mx,2022-09-08 17:49:18,Bar de vinos,"Apto para vegetarianos, Opciones sin gluten",https://www.tripadvisor.com.mx/Restaurant_Review-g150800-d5992672-Reviews-Sonora_Prime_Insurgentes-Mexico_City_Central_Mexico_and_Gulf_Coast.html,"1,355","$700 - $1,500",4.5,Sonora Grill Prime
"Felix Cuevas 905 Col. Del Valle, Ciudad de México 03200 México",,www.tripadvisor.com.mx,2022-09-08 17:49:18,Opciones sin gluten,"Cena, Abierto hasta tarde, Bebidas",https://www.tripadvisor.com.mx/Restaurant_Review-g150800-d10296195-Reviews-Parilla_Urbana_Felix_Cuevas-Mexico_City_Central_Mexico_and_Gulf_Coast.html,201,Mexicana,5.0,Parilla Urbana Félix Cuevas
"Rio Sena 88 Colonia Cuauhtemoc, Ciudad de México 06500 México",,www.tripadvisor.com.mx,2022-09-08 17:49:18,"Francesa, Saludable, Internacional",Opciones veganas,https://www.tripadvisor.com.mx/Restaurant_Review-g150800-d1032621-Reviews-Les_Moustaches-Mexico_City_Central_Mexico_and_Gulf_Coast.html,892,"$803 - $1,004",4.5,Les Moustaches
"Av. Juárez #70, Colonia Centro, Centro, Cuauhtémoc Hotel Hilton, Col. Centro, Del. Cuauhtémoc, CDMX, Ciudad de México 06010 México",,www.tripadvisor.com.mx,2022-09-08 17:49:19,"Mexicana, Bar de vinos, Internacional",Apto para vegetarianos,https://www.tripadvisor.com.mx/Restaurant_Review-g150800-d21059674-Reviews-Sonora_Prime_Centro_Historico-Mexico_City_Central_Mexico_and_Gulf_Coast.html,200,"$900 - $1,500",5.0,Sonora Prime Centro Historico
"Avenida Coyoacan 1955, Ciudad de México 14000 México",,www.tripadvisor.com.mx,2022-09-08 17:49:19,"Mexicana, Bar","Apto para vegetarianos, Opciones sin gluten",https://www.tripadvisor.com.mx/Restaurant_Review-g150800-d7220714-Reviews-Sonora_Grill_Coyacan-Mexico_City_Central_Mexico_and_Gulf_Coast.html,"1,687",$700 - $900,4.5,Sonora Grill Coyoacán
"Avenida Santa Fe # 428 Entrada por el parque La Mexicana, Ciudad de México 01376 México",,www.tripadvisor.com.mx,2022-09-08 17:49:19,"Almuerzo, Cena, Abierto hasta tarde, Bebidas","Comida para llevar, Reservaciones, Asiento, Estacionamiento disponible, Estacionamiento para clientes, Sillitas altas disponibles, Sirve alcohol, Bar completo, Acepta tarjetas de crédito, Servicio de mesa, Entrega a domicilio, Vino y cerveza, Estilo familiar",https://www.tripadvisor.com.mx/Restaurant_Review-g150800-d16645663-Reviews-Sonora_Prime_Santa_Fe-Mexico_City_Central_Mexico_and_Gulf_Coast.html,127,"$18,077 - $30,128",5.0,Sonora Prime Santa Fe
"Avenida Presidente Masaryk No 214 Colonia Polanco, Del. Miguel Hidalgo, Ciudad de México 11560 México",,www.tripadvisor.com.mx,2022-09-08 17:49:20,"Mexicana, Latina, Contemporánea",Apto para vegetarianos,https://www.tripadvisor.com.mx/Restaurant_Review-g150800-d3172720-Reviews-Porfirio_s_Polanco-Mexico_City_Central_Mexico_and_Gulf_Coast.html,"2,369",$700 - $900,4.5,Porfirio's Polanco
"Av. Santa Fe # 160 Del. Álvaro Obregón JW Marriott Hotel Mexico City Santa Fe, Ciudad de México 01219 México",,www.tripadvisor.com.mx,2022-09-08 17:49:20,"Mexicana, Internacional","Apto para vegetarianos, Opciones veganas",https://www.tripadvisor.com.mx/Restaurant_Review-g150800-d13792853-Reviews-CuA_Culinary_Artisans_Restaurant-Mexico_City_Central_Mexico_and_Gulf_Coast.html,175,$159 - $400,5.0,CúA Culinary Artisans Restaurant
"Avenida Ejercito Nacional Mexicano 769 esquina Moliere, Av Ejército Nacional, Amp Granada, Ciudad de México 11520 México",,www.tripadvisor.com.mx,2022-09-08 17:49:21,Mexicana,"Cena, Abierto hasta tarde, Bebidas",https://www.tripadvisor.com.mx/Restaurant_Review-g150800-d10760023-Reviews-Sonora_Grill_Miyana-Mexico_City_Central_Mexico_and_Gulf_Coast.html,"1,231",$700 - $900,4.5,Sonora Grill Miyana
"39C Paseo de la Reforma, Ciudad de México 06030 México",,www.tripadvisor.com.mx,2022-09-08 17:49:21,"Mexicana, Churrasquería, Parrilla",Opciones sin gluten,https://www.tripadvisor.com.mx/Restaurant_Review-g150800-d9603616-Reviews-Sonora_Grill_Reforma-Mexico_City_Central_Mexico_and_Gulf_Coast.html,"1,814",$700 - $900,4.5,Sonora Grill Reforma
"Calle Emiliano Zapata, Ciudad de México 06000 México",,www.tripadvisor.com.mx,2022-09-08 17:49:22,"Italiana, Pizzería, Europea","Apto para vegetarianos, Opciones veganas",https://www.tripadvisor.com.mx/Restaurant_Review-g150800-d11512915-Reviews-Dalis_pizzeria_italiana-Mexico_City_Central_Mexico_and_Gulf_Coast.html,330,$15 - $25,5.0,Dalis pizzeria italiana
"Avenida Presidente Masaryk 264 Polanco, Ciudad de México 11560 México",,www.tripadvisor.com.mx,2022-09-08 17:49:22,"Churrasquería, Mariscos, Delicatessen, Contemporánea, Saludable",Opciones sin gluten,https://www.tripadvisor.com.mx/Restaurant_Review-g150800-d3219975-Reviews-Harry_s_Masaryk-Mexico_City_Central_Mexico_and_Gulf_Coast.html,"1,189","$700 - $1,500",4.5,Harry's Masaryk
"Av. Pdte. Masaryk 275-Local A6 Polanco IV Secc, Ciudad de México 11550 México",,www.tripadvisor.com.mx,2022-09-08 17:49:22,"Apto para vegetarianos, Opciones veganas, Opciones sin gluten","Almuerzo, Cena, Abierto hasta tarde, Bebidas",https://www.tripadvisor.com.mx/Restaurant_Review-g150800-d13543536-Reviews-Pubbelly_Masaryk-Mexico_City_Central_Mexico_and_Gulf_Coast.html,427,"Sushi, Japonesa",4.5,Pubbelly Masaryk
"Lomas - Virreyes, Lomas de Chapultepec, 11000 Ciudad de Mexico, CDMX Calle Volcan 150 Frente A WE Work Lomas, Ciudad de México 11000 México",,www.tripadvisor.com.mx,2022-09-08 17:49:23,"Japonesa, Sushi, Mariscos, Saludable, Fusión japonesa","Almuerzo, Cena, Brunch, Bebidas",https://www.tripadvisor.com.mx/Restaurant_Review-g150800-d18818612-Reviews-Sake_Sushi_Bar-Mexico_City_Central_Mexico_and_Gulf_Coast.html,13,"$500 - $1,000",4.5,Sake Sushi Bar
"Av Pdte. Masaryk 111 Col. Polanco, Ciudad de México 11560 México",,www.tripadvisor.com.mx,2022-09-08 17:49:23,"Japonesa, Sushi, Asiática, Saludable, Internacional, Fusión japonesa",Apto para vegetarianos,https://www.tripadvisor.com.mx/Restaurant_Review-g150800-d19289467-Reviews-Ryoshi_Masaryk-Mexico_City_Central_Mexico_and_Gulf_Coast.html,487,"$300 - $1,000",5.0,Ryoshi Masaryk
"Avenida Paseo de Las Palmas no. 781 Sección 11560, Ciudad de México 11000 México",,www.tripadvisor.com.mx,2022-09-08 17:49:23,Mexicana,"Almuerzo, Cena",https://www.tripadvisor.com.mx/Restaurant_Review-g150800-d12830857-Reviews-Mochomos-Mexico_City_Central_Mexico_and_Gulf_Coast.html,452,$400 - $600,4.5,Mochomos
"Terminal 2, Aeropuerto Internacional De La Ciudad De Mexico, Ciudad de México 15620 México",,www.tripadvisor.com.mx,2022-09-08 17:49:24,"Abierto hasta tarde, Bebidas","Comida para llevar, Asiento, Sillitas altas disponibles, Acceso para silla de ruedas, Sirve alcohol, Bar completo, Wi-Fi gratis, Servicio de mesa",https://www.tripadvisor.com.mx/Restaurant_Review-g150800-d11667203-Reviews-Salute_Food_Bar-Mexico_City_Central_Mexico_and_Gulf_Coast.html,"1,197","Mexicana, Bar, Saludable",4.5,Salute Food & Bar
"Hamburgo 195, Juárez, Cuauhtémoc Hotel Galería Plaza Reforma, Ciudad de México 06600 México",,www.tripadvisor.com.mx,2022-09-08 17:49:24,Mediterránea,"Apto para vegetarianos, Opciones veganas, Opciones sin gluten",https://www.tripadvisor.com.mx/Restaurant_Review-g150800-d8497987-Reviews-Almara-Mexico_City_Central_Mexico_and_Gulf_Coast.html,686,$300 - $500,5.0,Almara
"Av. Pdte. Masaryk 460, Polanco, Polanco III Secc, Miguel Hidalgo, Ciudad de México 11550 México",,www.tripadvisor.com.mx,2022-09-08 17:49:24,"Churrasquería, Mariscos, Internacional, Parrilla, Bar","Almuerzo, Cena, Abierto hasta tarde, Bebidas",https://www.tripadvisor.com.mx/Restaurant_Review-g150800-d23523075-Reviews-Chambao_Polanco-Mexico_City_Central_Mexico_and_Gulf_Coast.html,448,$501 - $901,5.0,Chambao Polanco
"Calle Pennsylvania 80 Colonia Nápoles, Benito Juárez, Ciudad de México 03810 México",,www.tripadvisor.com.mx,2022-09-08 17:49:24,"Asiática, Tailandesa","Almuerzo, Cena, Bebidas",https://www.tripadvisor.com.mx/Restaurant_Review-g150800-d19283697-Reviews-Thai_Town-Mexico_City_Central_Mexico_and_Gulf_Coast.html,2,$150 - $350,5.0,Thai Town
"Calzada Acoxpa 610, Colonia Villa Coapa, Tlalpan, Ciudad de México 14390 México",,www.tripadvisor.com.mx,2022-09-08 17:49:25,"Mexicana, Bar, Saludable",Apto para vegetarianos,https://www.tripadvisor.com.mx/Restaurant_Review-g150800-d20157621-Reviews-Sonora_Grill_Coapa-Mexico_City_Central_Mexico_and_Gulf_Coast.html,745,$700 - $900,5.0,Sonora Grill Coapa
"Av. Emilio Castelar 163, Colonia Polanco III, Ciudad de México 11540 México",,www.tripadvisor.com.mx,2022-09-08 17:49:25,"Italiana, Contemporánea, Toscana, Del centro italiano",Opciones sin gluten,https://www.tripadvisor.com.mx/Restaurant_Review-g150800-d23312709-Reviews-Parole_Polanco-Mexico_City_Central_Mexico_and_Gulf_Coast.html,"1,553",$601 - $801,5.0,Parole Polanco
"Río Lerma 302, Col. Cuauhtémoc Local 1, Ciudad de México 06500 México",,www.tripadvisor.com.mx,2022-09-08 17:49:26,"Comida rápida, Contemporánea, Estadounidense, Saludable","Desayuno, Almuerzo, Cena, Brunch, Bebidas",https://www.tripadvisor.com.mx/Restaurant_Review-g150800-d23445104-Reviews-Sukka_Burger-Mexico_City_Central_Mexico_and_Gulf_Coast.html,7,$130 - $290,5.0,Sukka Burger
"Av. Paseo De La Reforma 124, Col. Juárez Piso 1, Ciudad de México 06600 México",,www.tripadvisor.com.mx,2022-09-08 17:49:26,"Desayuno, Almuerzo, Cena, Brunch, Bebidas","Comida para llevar, Reservaciones, Asientos al aire libre, Restaurante privado, Asiento, Estacionamiento disponible, Estacionamiento para clientes, Servicio de valet, Televisión, Sillitas altas disponibles, Acceso para silla de ruedas, Sirve alcohol, Bar completo, Wi-Fi gratis, Acepta tarjetas de crédito, Servicio de mesa, Vino y cerveza, Acepta American Express, Acepta Mastercard, Acepta Visa, Apto para perros, Estilo familiar, Restaurantes para no fumadores",https://www.tripadvisor.com.mx/Restaurant_Review-g150800-d22879733-Reviews-Restaurante_Condimento_Emporio_Reforma-Mexico_City_Central_Mexico_and_Gulf_Coast.html,509,Mexicana,5.0,Restaurante Condimento Emporio Reforma
"Alejandro Dumas # 78 Col. Polanco, Ciudad de México 11550 México",,www.tripadvisor.com.mx,2022-09-08 17:49:26,"Mexicana, Mariscos","Apto para vegetarianos, Opciones sin gluten",https://www.tripadvisor.com.mx/Restaurant_Review-g150800-d9863017-Reviews-Villa_Rica_Polanco-Mexico_City_Central_Mexico_and_Gulf_Coast.html,212,$15 - $40,4.5,Villa Rica Polanco
