,address,domain,extracted_date,food_category,food_types,link,opinions,min_price,max_price,rating,restaurant_name
5850,"Avenida Campeche 367 Col. Condesa, Ciudad de M̩xico 06100 M̩xico",www.tripadvisor.com.mx,08/09/22 18:20,Churrasquer�_a,,https://www.tripadvisor.com.mx/Restaurant_Review-g150800-d21117872-Reviews-Trapiche-Mexico_City_Central_Mexico_and_Gulf_Coast.html,,45.0,1600.0,,Trapiche
5851,"Calle Xicotencatl 160, Ciudad de M̩xico 04100 M̩xico",www.tripadvisor.com.mx,08/09/22 18:20,,,https://www.tripadvisor.com.mx/Restaurant_Review-g150800-d15048335-Reviews-Los_Canarios-Mexico_City_Central_Mexico_and_Gulf_Coast.html,,463.7050452781371,44320.62354463131,,Los Canarios
5852,"Ah. Universidad 1605 Colonia Chimalistac, Ciudad de M̩xico 01050 M̩xico",www.tripadvisor.com.mx,08/09/22 18:20,,,https://www.tripadvisor.com.mx/Restaurant_Review-g150800-d23116101-Reviews-Birrieria_Tijuana-Mexico_City_Central_Mexico_and_Gulf_Coast.html,,463.7050452781371,44320.62354463131,,Birrieria Tijuana
5853,"De Altura Local C, Veronica Ansurez Calle Bahia de Las Palmas 71, Ciudad de M̩xico 11300 M̩xico",www.tripadvisor.com.mx,08/09/22 18:20,,,https://www.tripadvisor.com.mx/Restaurant_Review-g150800-d21323680-Reviews-De_Altura-Mexico_City_Central_Mexico_and_Gulf_Coast.html,,463.7050452781371,44320.62354463131,,De Altura
5854,"Av. Cuauht̩moc No. 150 Esq. Doctor Erazo, Ciudad de M̩xico 06720 M̩xico",www.tripadvisor.com.mx,08/09/22 18:20,,,https://www.tripadvisor.com.mx/Restaurant_Review-g150800-d23722346-Reviews-La_Numero-Mexico_City_Central_Mexico_and_Gulf_Coast.html,,463.7050452781371,44320.62354463131,,La Numero
5855,"Avenida Eje 2 sur (Queretaro) 225 Dentro de Mercado Roma, Ciudad de M̩xico 06700 M̩xico",www.tripadvisor.com.mx,08/09/22 18:20,"Italiana, Mexicana, Mediterr��nea, Parrilla",,https://www.tripadvisor.com.mx/Restaurant_Review-g150800-d16694371-Reviews-La_Reina_de_la_Brasa-Mexico_City_Central_Mexico_and_Gulf_Coast.html,,175.0,350.0,,La Reina de la Brasa
5856,"Alvaro Obregon 243-A, Roma Norte Medellin, Ciudad de M̩xico 06700 M̩xico",www.tripadvisor.com.mx,08/09/22 18:20,Mexicana,,https://www.tripadvisor.com.mx/Restaurant_Review-g150800-d15717182-Reviews-Tapatia_Roma_Restaurante-Mexico_City_Central_Mexico_and_Gulf_Coast.html,,80.0,250.0,,Tapatia Roma Restaurante
5857,"Av. Pdte. Masaryk 298 lote A, Polanco, Polanco IV Secc Cdmx, Ciudad de M̩xico M̩xico",www.tripadvisor.com.mx,08/09/22 18:20,Saludable,"Almuerzo, Cena",https://www.tripadvisor.com.mx/Restaurant_Review-g150800-d20389960-Reviews-Funky_Geisha_Polanco-Mexico_City_Central_Mexico_and_Gulf_Coast.html,,1004.0,10043.0,,Funky Geisha Polanco
5858,"Av. ́lvaro Obreg�_n 264, Ciudad de M̩xico 06100 M̩xico",www.tripadvisor.com.mx,08/09/22 18:20,,,https://www.tripadvisor.com.mx/Restaurant_Review-g150800-d17929025-Reviews-Nuevo_Jade-Mexico_City_Central_Mexico_and_Gulf_Coast.html,,463.7050452781371,44320.62354463131,,Nuevo Jade
5859,"Rio Amazonas 85, Col Cuauhtemoc, Ciudad de M̩xico 06500 M̩xico",www.tripadvisor.com.mx,08/09/22 18:20,"Bar, Caf̩, Pub, Bar de vinos, Sudamericana, Centroamericana",,https://www.tripadvisor.com.mx/Restaurant_Review-g150800-d12366302-Reviews-85_Grill-Mexico_City_Central_Mexico_and_Gulf_Coast.html,,149.0,350.0,,85 Grill
5860,"Calle La Morena # 1104, Ciudad de M̩xico 03023 M̩xico",www.tripadvisor.com.mx,08/09/22 18:20,,,https://www.tripadvisor.com.mx/Restaurant_Review-g150800-d13454022-Reviews-Amory_pizza-Mexico_City_Central_Mexico_and_Gulf_Coast.html,,463.7050452781371,44320.62354463131,,́mory pizza
